"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"799",799,"All About the Money","Two ""down on their luck"" buddies are convinced by a third to take a vacation. Only after landing in Colombia, South America, do they realize that they are there to attempt to capture the ...                See full summary<U+00A0><U+00BB>",90,"Action",7,1970,"Blake Freeman","Eddie Griffin",NA,0
"800",800,"Timm Thaler oder das verkaufte Lachen","The devil tricks a little boy off his laughter in exchange for assured wins in all his bets. It depicts his journey after the deal with the devil, how he loses his soul bit by bit with each win.",102,"Adventure",5.9,76,"Andreas Dresen","Arved Friese",NA,0
"801",801,"Haseena Parkar","This is the story of the slightly-less-notorious sister of a notorious gangster.",135,"Biography",3.5,313,"Apoorva Lakhia","Shraddha Kapoor",NA,0
"802",802,"Buckout Road",NA,NA,"Horror",NA,NA,"Matthew Currie Holmes","Dominique Provost-Chalkley",NA,0
"803",803,"Istanbul Kirmizisi","Deniz, an acclaimed author, is writing a book about his family and friends. He asks Orhan for critics. The day Orhan came to Istanbul from London, Deniz disappears. Orhan, Deniz's friend Neval and Deniz's lover Yusuf tries to find Deniz.",110,"Drama",5.6,2108,"Ferzan Ozpetek","Halit Ergen<U+00E7>",NA,0
"804",804,"Mein Blind Date mit dem Leben","An ambitious young man struggles to achieve his dream of becoming an employee in a Munich luxury hotel despite being strongly visually impaired.",111,"Biography",7.1,1339,"Marc Rothemund","Kostja Ullmann",NA,0
"805",805,"Radius","Liam wakes from a car crash with no memory of who he is. As he makes his way into town to look for help, he finds only dead bodies, all with strange pale eyes. Liam's first assessment is ...                See full summary<U+00A0><U+00BB>",87,"Sci-Fi",6.1,109,"Caroline Labr<U+00E8>che","Diego Klattenhoff",NA,0
"806",806,"Sun Dogs",NA,NA,"Comedy",NA,NA,"See full summary","Melissa Benoist",NA,0
"807",807,"In Search of Fellini","A shy small-town Ohio girl who loves movies but dislikes reality, discovers the delightfully bizarre films of Federico Fellini, and sets off on a strange, beautiful journey across Italy to find him.",93,"Adventure",6.8,165,"Taron Lexton","Maria Bello",58,0
"808",808,"Girlfriend's Day","In a city where greeting card writers are celebrated like movie stars, Romance writer Ray used to be the king. In trying to recapture the feelings that once made him the greatest, he gets ...                See full summary<U+00A0><U+00BB>",65,"Comedy",5.2,1954,"Michael Paul Stephenson","Bob Odenkirk",NA,0
"809",809,"Take the 10","A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.",80,"Comedy",4.8,1523,"Chester Tam","Josh Peck",NA,0
"810",810,"Menashe","Within Brooklyn's ultra-orthodox Jewish community, a widower battles for custody of his son. A tender drama performed entirely in Yiddish, the film intimately explores the nature of faith and the price of parenthood.",82,"Drama",6.4,459,"Joshua Z Weinstein","Menashe Lustig",81,0.72
"811",811,"High Society","A wealthy socialite's daughter discovers she was switched at birth.",100,"Comedy",5.1,99,"Anika Decker","Emilia Sch<U+00FC>le",NA,0
"812",812,"Simran","A socially criticized girl who is financially cornered, becomes an outlaw to dodge the situation.",124,"Crime",5.8,1155,"Hansal Mehta","Kangana Ranaut",NA,0
"813",813,"Estiu 1993","After her mother's death, six-year-old Frida is sent to her uncle's family to live with them in the countryside. But Frida finds it hard to forget her mother and adapt to her new life.",97,"Drama",7.6,779,"Carla Sim<U+00F3>n","Laia Artigas",NA,0
"814",814,"Mr & Mme Adelman","For more than 45 years, Sarah and Victor have been together. How did they do it? Who's really Sarah, this enigmatic woman who's always been on the shadow of her husband? Love, ambition and secrets feed this unusual couple's odyssey.",120,"Drama",7.3,866,"Nicolas Bedos","Doria Tillier",NA,0
"815",815,"House of Evil","Couple is moving on the countryside in old mansion and the mansion has secrets...",85,"Horror",3.5,76,"Luca Boni","Andrew Harwood Mills",NA,0
"816",816,"You, Me and Him",NA,NA,"Comedy",NA,NA,"See full summary","David Tennant",NA,0
"817",817,"Throne of Elves","In the mythical Elven world of Altera, an epic battle unfolds between the beautiful Princess Liya and the Dark Elf Elena, who has gained possession of a jewel so powerful it allows its holder complete authority over all Alterans.",104,"Animation",6.2,496,"Yi Ge","Ashley Boettcher",NA,0
"818",818,"Jai Lava Kusa","Jai, Lava and Kusa are identical triplets whose personalities are very different from each other.",150,"Action",7.8,2772,"Bobby Kolli","Junior N.T.R.",NA,0
"819",819,"Reprisal",NA,NA,"Action",NA,NA,"Brian A Miller","Bruce Willis",NA,0
"820",820,"A Cowgirl's Story","Seventeen-year-old Dusty Rhodes (Bailee Madison) goes to live with her grandfather (Pat Boone) because both of her Army parents are fighting in the Afghanistan war. Dusty attends a new high...                See full summary<U+00A0><U+00BB>",98,"Family",5.2,264,"Timothy Armstrong","Bailee Madison",NA,0
"821",821,"Jeune femme","Broke, with nothing but her cat and doors closing in her face, Paula is back in Paris after a long absence. As she meets different people along the way, there is one thing she knows for ...                See full summary<U+00A0><U+00BB>",97,"Drama",7.4,233,"L<U+00E9>onor Serraille","Laetitia Dosch",80,0
"822",822,"Muumien joulu",NA,82,"Animation",NA,NA,"Ira Carpelan","Bill Skarsg<U+00E5>rd",NA,0
"823",823,"Running Wild","Running Wild is about Stella Davis, a widow who saves her ranch by working with convicts to rehabilitate a herd of wild horses that wandered on to her property. Stella must fight prejudice,...                See full summary<U+00A0><U+00BB>",99,"Drama",6,674,"Alex Ranarivelo","Sharon Stone",NA,0
"824",824,"The Sweetest Christmas",NA,NA,"Romance",NA,NA,"See full summary",NA,NA,0
"825",825,"The Reunion","Three best friends in high school reunite ten years later for a weekend getaway/private reunion. During their weekend getaway, something from their high school years comes back to haunt ...                See full summary<U+00A0><U+00BB>",76,"Drama",6,21,"Tim French","Edward Furlong",NA,0
"826",826,"Schneefl<U+00F6>ckchen","Hunting down the murderer of their families in an anarchic Berlin of the near future, the outlaws Tan and Javid find themselves trapped in the wicked fairytale of a mysterious screenplay ...                See full summary<U+00A0><U+00BB>",120,"Action",7.4,137,"Adolfo J. Kolmerer","Reza Brojerdi",NA,0
"827",827,"A Family for the Holidays",NA,NA,"Romance",NA,NA,"See full summary","Andrea Bowen",NA,0
