"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"117",117,"The Ritual","A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",94,"Horror",6.3,750,"David Bruckner","Rafe Spall",NA,0
"118",118,"Cars 3","Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.",102,"Animation",7,19700,"Brian Fee","Owen Wilson",59,148.8
"119",119,"Three Billboards Outside Ebbing, Missouri","In this darkly comic drama, a mother personally challenges the local authorities to solve her daughter's murder, when they fail to catch the culprit.",115,"Comedy",8.3,1160,"Martin McDonagh","Frances McDormand",89,0
"120",120,"Pitch Perfect 3",NA,NA,"Comedy",NA,NA,"Trish Sie","Ruby Rose",NA,0
"121",121,"The Greatest Showman",NA,NA,"Biography",NA,NA,"Michael Gracey","Zendaya",NA,0
"122",122,"2:22","A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",98,"Action",5.7,8339,"Paul Currie","Teresa Palmer",NA,0
"123",123,"Unlocked","A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.",98,"Action",6.2,9855,"Michael Apted","Noomi Rapace",46,0
"124",124,"Megan Leavey","Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.",116,"Biography",7.1,8337,"Gabriela Cowperthwaite","Kate Mara",66,12.71
"125",125,"Okja","Meet Mija, a young girl who risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a fascinating animal named Okja.",120,"Action",7.4,44336,"Joon-ho Bong","Tilda Swinton",76,0
"126",126,"Daddy's Home 2",NA,NA,"Comedy",NA,NA,"Sean Anders","Linda Cardellini",NA,0
"127",127,"Tulip Fever","An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of 17th century Amsterdam.",105,"Drama",6.3,2105,"Justin Chadwick","Alicia Vikander",38,0
"128",128,"Going in Style","Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",96,"Comedy",6.6,41266,"Zach Braff","Michael Caine",50,45
"129",129,"The Stray","A young father takes his nine year old son, the family dog, and two of his son's friends backpacking in the mountains of Colorado only for all five of them to be struck by lightning.",92,"Drama",6.4,92,"Mitch Davis","Sarah Lancaster",NA,0
"130",130,"The Death of Stalin","Follows the Soviet dictator's last days and depicts the chaos of the regime after his death.",106,"Biography",7.6,456,"Armando Iannucci","Jason Isaacs",88,0
"131",131,"The Glass Castle","A young girl comes of age in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.",127,"Biography",7.1,2785,"Destin Daniel Cretton","Brie Larson",56,9.71
"132",132,"Wonderstruck","The story of a young boy in the Midwest is told simultaneously with a tale about a young girl in New York from fifty years ago as they both seek the same mysterious connection.",117,"Drama",6.9,666,"Todd Haynes","Oakes Fegley",73,0
"133",133,"Til Death Do Us Part","Michael and Madison Roland had planned to spend the rest of their lives together, until one day Michael's controlling ways turned their perfect marriage. With the help of her best friend, ...                See full summary<U+00A0><U+00BB>",101,"Thriller",2.9,153,"Chris Stokes","Stephen Bishop",NA,0
